header	position	frame	coding
MN908947	0	1	0
MN908947	0	-1	0
MN908947	1	2	0
MN908947	1	-2	0
MN908947	2	3	0
MN908947	2	-3	0
MN908947	3	1	0
MN908947	3	-1	0
MN908947	4	2	0
MN908947	4	-2	0
MN908947	5	3	0
MN908947	5	-3	0
MN908947	6	1	0
MN908947	6	-1	0
MN908947	7	2	0
MN908947	7	-2	0
MN908947	8	3	0
MN908947	8	-3	0
MN908947	9	1	0
MN908947	9	-1	0
MN908947	10	2	0
MN908947	10	-2	0
MN908947	11	3	0
MN908947	11	-3	0
MN908947	12	1	0
MN908947	12	-1	0
MN908947	13	2	0
MN908947	13	-2	0
MN908947	14	3	0
MN908947	14	-3	0
MN908947	15	1	0
MN908947	15	-1	0
MN908947	16	2	0
MN908947	16	-2	0
MN908947	17	3	0
MN908947	17	-3	0
MN908947	18	1	0
MN908947	18	-1	0
MN908947	19	2	0
MN908947	19	-2	0
MN908947	20	3	0
MN908947	20	-3	0
MN908947	21	1	0
MN908947	21	-1	0
MN908947	22	2	0
MN908947	22	-2	0
MN908947	23	3	0
MN908947	23	-3	0
MN908947	24	1	0
MN908947	24	-1	0
MN908947	25	2	0
MN908947	25	-2	0
MN908947	26	3	0
MN908947	26	-3	0
MN908947	27	1	0
MN908947	27	-1	0
MN908947	28	2	0
MN908947	28	-2	0
MN908947	29	3	0
MN908947	29	-3	0
MN908947	30	1	0
MN908947	30	-1	0
MN908947	31	2	0
MN908947	31	-2	0
MN908947	32	3	0
MN908947	32	-3	0
MN908947	33	1	0
MN908947	33	-1	0
MN908947	34	2	0
MN908947	34	-2	0
MN908947	35	3	0
MN908947	35	-3	0
MN908947	36	1	0
MN908947	36	-1	0
MN908947	37	2	0
MN908947	37	-2	0
MN908947	38	3	0
MN908947	38	-3	0
MN908947	39	1	0
MN908947	39	-1	0
MN908947	40	2	0
MN908947	40	-2	0
MN908947	41	3	0
MN908947	41	-3	0
MN908947	42	1	0
MN908947	42	-1	0
MN908947	43	2	0
MN908947	43	-2	0
MN908947	44	3	0
MN908947	44	-3	0
MN908947	45	1	0
MN908947	45	-1	0
MN908947	46	2	0
MN908947	46	-2	0
